LINK,NAME,PARTY,STATE
https://www.india.gov.in/directory/whos-who/mla/sri-y-balanagi-reddy-171262586168160,Sri Y. Balanagi Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-yarlagadda-venkata-rao-171269187670868,Sri Yarlagadda Venkata Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-venigandla-ramu-171269187631383,Sri Venigandla Ramu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-yarapathineni-srinivasa-rao-171269187676478,Sri Yarapathineni Srinivasa Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-yeluri-sambasiva-rao-171269187647965,Sri Yeluri Sambasiva Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-vishnu-kumar-raju-penmetsa-171269187637094,Sri Vishnu Kumar Raju Penmetsa,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-y-s-jagan-mohan-reddy-171269187642314,Sri Y S Jagan Mohan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-aranii-srenevasulu-jmc-171255862118702,Sri Aranii Srenevasulu (JMC),Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-akepati-amarnath-reddy-171255862186159,Sri Akepati Amarnath Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ashok-bendalam-171255862235802,Sri Ashok Bendalam,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-anzanneyllu-g-v-171255862219912,Sri Anzanneyllu G. V.,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-anitha-vangalapudi-171255862204564,Smt. Anitha Vangalapudi,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-arava-sreedhar-171255862059030,Sri Arava Sreedhar,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-aithabathula-anandarao-171255861867260,Sri Aithabathula Anandarao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-amilineni-surendra-babu-171255862138399,Sri Amilineni Surendra Babu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-atchannaidu-kinjarapu-171255861958471,Sri Atchannaidu Kinjarapu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-anam-ramanarayana-reddy-171255861888059,Sri Anam Ramanarayana Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-adinarayana-reddy-chadipirala-171255862251892,Sri Adinarayana Reddy Chadipirala,Bharatiya Janata Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-aditi-vijayalakshmi-gajapathi-raju-pusapati-171255862296085,Smt. Aditi Vijayalakshmi Gajapathi Raju Pusapati,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-akhila-priya-bhuma-171255861779305,Smt. Akhila Priya Bhuma,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-anagani-satya-prasad-171255862281298,Sri Anagani Satya Prasad,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ashmit-reddy-j-c-171255862004027,Sri Ashmit Reddy J. C.,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ananda-babu-nakka-171255862267131,Sri Ananda Babu Nakka,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-amaranatha-reddy-n-171255861981975,Sri Amaranatha Reddy. N,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ashok-reddy-muthumula-171255862023283,Sri Ashok Reddy Muthumula,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-arimilli-radhakrishna-171255862166412,Sri Arimilli Radhakrishna,Telugu Desam Party,Andhra Pradesh
