,CONSTITUENCY,NAME,PARTY
233,Garbeta,Ashis Chakraborty (Nanti),AITC
234,Salboni,Srikanta Mahata,AITC
235,Keshpur,Seuli Saha,AITC
236,Medinipur,Mrigendra Nath Maiti,AITC
237,Binpur,Khagendranath Hembram,AITC
238,Bandwan,Rajib Lochan Saren,AITC
239,Balarampur,Shantiram Mahato,AITC
240,Baghmundi,Nepal Mahata,INC
241,Joypur,Shaktipada Mahato,AITC
242,Purulia,Sudip Kumar Mukherjee,INC
243,Manbazar,Sandhya Rani Tudu,AITC
244,Kashipur,Swapan Kumar Beltharia,AITC
245,Para,Umapada Bauri,AITC
246,Raghunathpur,Purna Chandra Bauri,AITC
247,Saltora,Swapan Bouri,AITC
248,Chhatna,Dhirendra Nath Layek,RSP
249,Ranibandh,Jyotsna Mandi,AITC
250,Raipur,Birendra Nath Tudu,AITC
251,Taldangra,Samir Chakraborty,AITC
252,Bankura,Daripa Shampa,INC
253,Barjora,Sujit Chakraborty,CPM
254,Onda,Arup Kumar Khan,AITC
255,Bishnupur,Tushar Kanti Bhattacharya,INC
256,Kotulpur,Shyamal Santra,AITC
257,Indas,Gurupada Mete,AITC
258,Sonamukhi,Ajit Ray,CPM
259,Khandaghosh,Nabin Chandra Bag,AITC
260,Bardhaman Dakshin,Rabiranjan Chattopadhyay,AITC
261,Raina,Nepal Ghorui,AITC
262,Jamalpur,Samar Hazra,CPM
263,Monteswar,Saikat Panja,AITC
264,Kalna,Kundu Biswajit,AITC
265,Memari,Begum Nargis,AITC
266,Bardhaman Uttar,Nisith Kumar Malik,AITC
267,Bhangore,Abdur Razzak Molla,AITC
268,Kasba,Ahmed Javed Khan,AITC
269,Jadavpur,Sujan Chakraborty,CPM
270,Sonarpur Uttar,Firdousi Begum,AITC
271,Tollygunge,Aroop Biswas,AITC
272,Behala Purba,Sovan Chatterjee,AITC
273,Behala Paschim,Partha Chatterjee,AITC
274,Maheshtala,Kasturi Das,AITC
275,Budge Budge,Ashok Kumar Deb,AITC
276,Metiaburuz,Abdul Khaleque Molla,AITC
277,Kolkata Port,Firhad Hakim,AITC
278,Bhabanipur,Mamata Banerjee,AITC
279,Rashbehari,Sobhandeb Chattopadhyay,AITC
280,Ballygunge,Subrata Mukherjee,AITC
281,Chowrangee,Nayna Bandyopadhyay,AITC
282,Entally,Swarna Kamal Saha,AITC
283,Beleghata,Paresh Paul,AITC
284,Jorasanko,Smita Bakshi,AITC
285,Shyampukur,Shashi Panja,AITC
286,Maniktala,Sadhan Pande,AITC
287,Kashipur-Belgachia,Mala Saha,AITC
288,Bally,Baishali Dalmiya,AITC
289,Howrah Uttar,Laxmi Ratan Shukla,AITC
290,Howrah Madhya,Arup Roy (Apu),AITC
291,Shibpur,Jatu Lahiri,AITC
292,Howrah Dakshin,Brajamohan Majumder,AITC
293,Sankrail,Sital Kumar Sardar,AITC
294,Panchla,Gulsan Mullick,AITC
