party ,ac-corner,name,seat,seat 2
DMK,69,Ambethkumar . S,· Tiruvannamalai,Vandavasi
PMK,70,Ganeshkumar A,· Viluppuram,Gingee
AIADMK,71,Shanmugam C Ve,· Viluppuram,Mailam
VCK,72,Vanni Arasu,· Viluppuram,Tindivanam
DMK,73,Gowtham D,· Viluppuram,Vanur
DMK,74,Lakshmanan R,· Viluppuram,Viluppuram
PMK,75,Sivakumar C,· Viluppuram,Vikravandi
AIADMK,76,Palanisamy S,· Viluppuram,Tirukkoyilur
DMK,77,Vasanthavel G R,· Kallakurichi,Ulundurpettai
DMK,78,Karthikeyan K,· Kallakurichi,Rishivandiyam
AIADMK,79,Rakesh R,· Kallakurichi,Sankarapuram
TVK,80,Arul Vignesh C,· Kallakurichi,Kallakurichi
AIADMK,81,Nallathambi . A,· Salem,Gangavalli
AIADMK,82,Jayasankaran . A. P.,· Salem,Attur
AIADMK,83,Usharani . P,· Salem,Yercaud
AIADMK,84,Mani . R,· Salem,Omalur
AIADMK,85,Venkatachalam . G,· Salem,Mettur
AIADMK,86,Edappadi Palaniswami . K,· Salem,Edappadi
AIADMK,87,Vetrivel . S,· Salem,Sankari
TVK,88,Lakshmanan S.,· Salem,Salem (West)
TVK,89,Sivakumar . K,· Salem,Salem (North)
TVK,90,Vijay Tamilan Parthiban . A,· Salem,Salem (South)
TVK,91,Palanivel . M. S.,· Salem,Veerapandi
TVK,92,Logesh Tamilselvan D,· Namakkal,Rasipuram
TVK,93,P Chandrasekar,· Namakkal,Senthamangalam
TVK,94,Dilip C S,· Namakkal,Namakkal
AIADMK,95,Sekar S,· Namakkal,Paramathi-Velur
TVK,96,Arunraj K G,· Namakkal,Tiruchengodu
TVK,97,C VIJAYALAKSHMI.,· Namakkal,Kumarapalayam
TVK,98,M VIJAY. Balaji,· Erode,Erode (East)
TVK,99,Ananth Moghan K. K.,· Erode,Erode (West)
TVK,100,D SHANMUGAN.,· Erode,Modakkurichi
AIADMK,101,Sathyabama P.,· Tiruppur,Dharapuram
AIADMK,102,Nsn Nataraj,· Tiruppur,Kangayam
AIADMK,103,Jayakumar . S,· Erode,Perundurai
AIADMK,104,Karuppanan . K. C.,· Erode,Bhavani
AIADMK,105,Haribaskar P.,· Erode,Anthiyur
TVK,106,Sengottaiyan K. A.,· Erode,Gobichettipalayam
TVK,107,V P. TAMILSELVI.,· Erode,Bhavanisagar
BJP,108,Bhojarajan M.,· The Nilgiris,Udhagamandalam
DMK,109,Dhravidamani M.,· The Nilgiris,Gudalur
DMK,110,M. Raju,· The Nilgiris,Coonoor
TVK,111,Sunilanand,· Coimbatore,Mettuppalayam
TVK,112,Kamali S.,· Tiruppur,Avanashi
TVK,113,V SATHYABAMA.,· Tiruppur,Tiruppur (North)
TVK,114,Balamurugan . S,· Tiruppur,Tiruppur (South)
TVK,115,K RAMKUMAR.,· Tiruppur,Palladam
TVK,116,Nm SUKUMAR.,· Coimbatore,Sulur
TVK,117,Kanimozhi Santhosh,· Coimbatore,Kavundampalayam
TVK,118,V. Sampathkumar,· Coimbatore,Coimbatore (North)
AIADMK,119,S P. VELUMANI.,· Coimbatore,Thondamuthur
DMK,120,V Senthilbalaji,· Coimbatore,Coimbatore (South)
TVK,121,K S. SRI. Giri Prasath,· Coimbatore,Singanallur
TVK,122,Vignesh K,· Coimbatore,Kinathukadavu
DMK,123,K. Nithyanandhan,· Coimbatore,Pollachi
DMK,124,Kutty Alias Sudhakar . A,· Coimbatore,Valparai
DMK,125,Jayakumar M.,· Tiruppur,Udumalaipettai
DMK,126,R Jayaramakrishnan,· Tiruppur,Madathukulam
AIADMK,127,Ravimanoharan . K,· Dindigul,Palani
DMK,128,Sakkarapani . R,· Dindigul,Oddanchatram
DMK,129,I. Periasamy,· Dindigul,Athoor
TVK,130,Ayyanar R.,· Dindigul,Nilakkottai
AIADMK,131,Natham Viswanathan R,· Dindigul,Natham
DMK,132,Senthilkumar . I. P.,· Dindigul,Dindigul
DMK,133,Saminathan . T,· Dindigul,Vedasandur
DMK,134,Elango . R,· Karur,Aravakurichi
AIADMK,135,M. R. Vijayabhaskar,· Karur,Karur
TVK,136,Sathya . M,· Karur,Krishnarayapuram
DMK,137,Suriyanur . A. Chandran,· Karur,Kulithalai
TVK,138,R. Kathiravan,· Tiruchirappalli,Manapparai
TVK,139,Ramesh,· Tiruchirappalli,Srirangam
DMK,140,K N. NEHRU.,· Tiruchirappalli,Tiruchirappalli (West)
TVK,141,C. Joseph Vijay,· Tiruchirappalli,Tiruchirappalli (East)
TVK,142,Vijayakumar A Navalpattu S. Viji,· Tiruchirappalli,Thiruverumbur
AIADMK,143,Leemarose Martin,· Tiruchirappalli,Lalgudi
DMK,144,Kathiravan . S,· Tiruchirappalli,Manachanallur
TVK,145,M VIGNESH.,· Tiruchirappalli,Musiri
TVK,146,Ravisankar M.,· Tiruchirappalli,Thuraiyur
TVK,147,Sivakumar . K,· Perambalur,Perambalur
DMK,148,Sivasankar . S. S.,· Perambalur,Kunnam
AIADMK,149,Rajendran S,· Ariyalur,Ariyalur
PMK,150,Vaithilingam G.,· Ariyalur,Jayankondam
DMK,151,Ganesan C. V.,· Cuddalore,Tittakudi
DMDK,152,Premallatha Vijayakant,· Cuddalore,Vriddhachalam
AIADMK,153,Rajendran R.,· Cuddalore,Neyveli
AIADMK,154,Mohan . K,· Cuddalore,Panruti
