SI.NO,NAME,PARTY,Constituency,state/union territory
274,"Nagesh, Shri Godam",BJP,Adilabad (ST),Telangana
275,"Naidu, Shri Kinjarapu Rammohan",TDP,Srikakulam,Andhra Pradesh
276,"Naik, Shri G Kumar",INC,Raichur (ST),Karnataka
277,"Naik, Shri Shripad Yesso",BJP,North Goa,Goa
278,"Namdeo, Dr. Kirsan",INC,Gadchiroli-Chimur (ST),Maharashtra
279,"Nayak, Shri Ananta",BJP,Keonjhar (ST),Odisha
280,"Nehru, Thiru Arun",DMK,Perambalur,Tamil Nadu
281,"Nishad, Shri Laxmikant Pappu",SP,Sant Kabir Nagar,Uttar Pradesh
282,"Nishad, Shri Rambhual",SP,Sultanpur,Uttar Pradesh
283,"Ola, Shri Brijendra Singh",INC,Jhunjhunu,Rajasthan
284,"Oram, Shri Jual",BJP,Sundargarh (ST),Odisha
285,"Owaisi, Shri Asaduddin",AIMIM,Hyderabad,Telangana
286,"P, Dr. Ganapathy Rajkumar",DMK,Coimbatore,Tamil Nadu
287,"Padavi, Adv Gowaal Kagada",INC,Nandurbar (ST),Maharashtra
288,"Padole, Dr. Prashant Yadaorao",INC,Bhandara-Gondiya,Maharashtra
289,"Pal, Shri Jagdambika",BJP,Domariyaganj,Uttar Pradesh
290,"Panda, Shri Baijayant",BJP,Kendrapara,Odisha
291,"Pandey, Shri Sanatan",SP,Ballia,Uttar Pradesh
292,"Pandey, Shri Santosh",BJP,Rajnandgaon,Chhattisgarh
293,"Panigrahi, Shri Sukanta Kumar",BJP,Kandhamal,Odisha
294,"Panigrahy, Dr. Pradeep Kumar",BJP,Berhampur,Odisha
295,"Pany, Shri Rudra Narayan",BJP,Dhenkanal,Odisha
296,"Parambil, Shri Shafi",INC,Vadakara,Kerala
297,"Pardhi, Smt. Bharti",BJP,Balaghat,Madhya Pradesh
298,"Parkash, Shri Jai",INC,Hisar,Haryana
299,"Parthasarathi, Shri B K",TDP,Hindupur,Andhra Pradesh
300,"Paswan, Shri Chirag",LJSP(RV),Hajipur (SC),Bihar
301,"Paswan, Shri Kamlesh",BJP,Bansgaon (SC),Uttar Pradesh
302,"Patel, Dr. Shiv Pal Singh",SP,Pratapgarh,Uttar Pradesh
303,"Patel, Shri Dhaval Laxmanbhai",BJP,Valsad (ST),Gujarat
304,"Patel, Shri Gajendra  Singh",BJP,Khargone (ST),Madhya Pradesh
305,"Patel, Shri Haribhai",BJP,Mahesana,Gujarat
306,"Patel, Shri Hasmukhbhai Somabhai",BJP,Ahmedabad East,Gujarat
307,"Patel, Shri Miteshbhai Rameshbhai",BJP,Anand,Gujarat
308,"Patel, Shri Naresh Chandra Uttam",SP,Fatehpur,Uttar Pradesh
309,"Patel, Shri Praveen",BJP,Phulpur,Uttar Pradesh
310,"Patel, Shri Shreyas M",INC,Hassan,Karnataka
