SI.NO,LINK,NAME,PARTY,STATE/UNION TERRITORY
72,https://sansad.in/getFile/newmembers/photos/P2660.jpg?source=rajyasabha,"Ivnate, Smt. Maya Chintaman",BJP,Maharashtra
73,https://sansad.in/getFile/newmembers/photos/P2538.jpg?source=rajyasabha,"Jaggesh, Shri",BJP,Karnataka
74,https://sansad.in/getFile/newmembers/photos/P2648.jpg?source=rajyasabha,"Jain, Dr. Meenakshi",NOM.,Nominated
75,https://sansad.in/getFile/newmembers/photos/P2613.jpg?source=rajyasabha,"Jain, Shri Naveen",BJP,Uttar Pradesh
76,https://sansad.in/getFile/newmembers/photos/P2426.jpg?source=rajyasabha,"Jaishankar, Shri S.",BJP,Gujarat
77,https://sansad.in/getFile/newmembers/photos/P2379.jpg?source=rajyasabha,"Jha, Prof. Manoj Kumar",RJD,Bihar
78,https://sansad.in/getFile/newmembers/photos/P2591.jpg?source=rajyasabha,"Jha, Shri Sanjay Kumar",JD(U),Bihar
79,https://sansad.in/getFile/newmembers/photos/P2579.jpg?source=rajyasabha,"Jhala, Shri Kesridevsinh",BJP,Gujarat
80,https://sansad.in/getFile/newmembers/photos/P2481.jpg?source=rajyasabha,"Kadadi, Shri Iranna",BJP,Karnataka
81,https://sansad.in/getFile/newmembers/photos/P2534.jpg?source=rajyasabha,"Kalyanasundaram, Shri S.",DMK,Tamil Nadu
82,https://sansad.in/getFile/newmembers/photos/P2295.jpg?source=rajyasabha,"Khan, Shri Javed Ali",SP,Uttar Pradesh
83,https://sansad.in/getFile/newmembers/photos/P2482.jpg?source=rajyasabha,"Kharge, Shri Mallikarjun",INC,Karnataka
84,https://sansad.in/getFile/newmembers/photos/P2476.jpg?source=rajyasabha,"Kharlukhi, Dr. Wanweiroy",NPP,Meghalaya
85,https://sansad.in/getFile/newmembers/photos/P2623.jpg?source=rajyasabha,"Khuntia, Shri Subhasish",BJD,Odisha
86,https://sansad.in/getFile/newmembers/photos/P2656.jpg?source=rajyasabha,"Kichloo, Shri Sajjad Ahmad",J&KNC,Jammu & Kashmir
87,https://sansad.in/getFile/newmembers/photos/P2516.jpg?source=rajyasabha,"Konyak, Smt. S. Phangnon",BJP,Nagaland
88,https://sansad.in/getFile/newmembers/photos/P2494.jpg?source=rajyasabha,"Koragappa, Shri Narayana",BJP,Karnataka
89,https://sansad.in/getFile/newmembers/photos/P2528.jpg?source=rajyasabha,"Krishnaiah, Shri Ryaga",BJP,Andhra Pradesh
90,https://sansad.in/getFile/newmembers/photos/P2605.jpg?source=rajyasabha,"Kulkarni, Dr. Medha Vishram",BJP,Maharashtra
91,https://sansad.in/getFile/newmembers/photos/P2512.jpg?source=rajyasabha,"Kumar, Dr. Sikander",BJP,Himachal Pradesh
92,https://sansad.in/getFile/newmembers/photos/P2555.jpg?source=rajyasabha,"Kumar, Shri Mithlesh",BJP,Uttar Pradesh
93,https://sansad.in/getFile/newmembers/photos/P2685.jpg?source=rajyasabha,"Kumar, Shri Nitish",JD(U),Bihar
94,https://sansad.in/getFile/newmembers/photos/P2679.jpg?source=rajyasabha,"Kumar, Shri Rajeev",AITC,West Bengal
95,https://sansad.in/getFile/newmembers/photos/P2684.jpg?source=rajyasabha,"Kumar, Shri Shivesh",BJP,Bihar
96,https://sansad.in/getFile/newmembers/photos/P2447.jpg?source=rajyasabha,"Kumar, Shri Sujeet",BJP,Odisha
97,https://sansad.in/getFile/newmembers/photos/P2636.jpg?source=rajyasabha,"Kurian, Shri George",BJP,Madhya Pradesh
98,https://sansad.in/getFile/newmembers/photos/P2168.jpg?source=rajyasabha,"Kushwaha, Shri Upendra",RLM,Bihar
99,https://sansad.in/getFile/newmembers/photos/P2557.jpg?source=rajyasabha,"Laxman, Dr. K.",BJP,Uttar Pradesh
100,https://sansad.in/getFile/newmembers/photos/P2475.jpg?source=rajyasabha,"Leishemba, Shri Maharaja Sanajaoba",BJP,Manipur
101,https://sansad.in/getFile/newmembers/photos/P2584.jpg?source=rajyasabha,"Lepcha, Shri Dorjee Tshering",BJP,Sikkim
102,https://sansad.in/getFile/newmembers/photos/P2544.jpg?source=rajyasabha,"Mahadik, Shri Dhananjay Bhimrao",BJP,Maharashtra
103,https://sansad.in/getFile/newmembers/photos/P2598.jpg?source=rajyasabha,"Mahajan, Shri Harsh",BJP,Himachal Pradesh
104,https://sansad.in/getFile/newmembers/photos/P2561.jpg?source=rajyasabha,"Mahto, Shri Khiru",JD(U),Bihar
105,https://sansad.in/getFile/newmembers/photos/P2565.jpg?source=rajyasabha,"Maji, Smt. Mahua",JMM,Jharkhand
106,https://sansad.in/getFile/newmembers/photos/P2599.jpg?source=rajyasabha,"Makan, Shri Ajay",INC,Karnataka
107,https://sansad.in/getFile/newmembers/photos/P2582.jpg?source=rajyasabha,"Maliwal, Ms. Swati",BJP,National Capital Territory of Delhi
108,https://sansad.in/getFile/newmembers/photos/P2680.jpg?source=rajyasabha,"Mallik, Smt. Rukmini",AITC,West Bengal
109,https://sansad.in/getFile/newmembers/photos/P2610.jpg?source=rajyasabha,"Mandadi, Shri Anil Kumar Yadav",INC,Telangana
110,https://sansad.in/getFile/newmembers/photos/P2540.jpg?source=rajyasabha,"Mangaraj, Shri Manas Ranjan",BJD,Odisha
111,https://sansad.in/getFile/newmembers/photos/P2416.jpg?source=rajyasabha,"Mani, Shri Jose K.",KC(M),Kerala
112,https://sansad.in/getFile/newmembers/photos/P2659.jpg?source=rajyasabha,"Manickam, Shri Christopher",INC,Tamil Nadu
113,https://sansad.in/getFile/newmembers/photos/P2510.jpg?source=rajyasabha,"Margherita, Shri Pabitra",BJP,Assam
114,https://sansad.in/getFile/newmembers/photos/P2646.jpg?source=rajyasabha,"Master, Shri C. Sadanandan",BJP,Nominated
115,https://sansad.in/getFile/newmembers/photos/P2513.jpg?source=rajyasabha,"Mather Hisham, Smt. Jebi",INC,Kerala
116,https://sansad.in/getFile/newmembers/photos/P2611.jpg?source=rajyasabha,"Maurya, Shri Amar Pal",BJP,Uttar Pradesh
117,https://sansad.in/getFile/newmembers/photos/P2634.jpg?source=rajyasabha,"Mishra, Shri Manan Kumar",BJP,Bihar
118,https://sansad.in/getFile/newmembers/photos/P2673.jpg?source=rajyasabha,"Misra, Dr. Santrupt",BJD,Odisha
119,https://sansad.in/getFile/newmembers/photos/P2518.jpg?source=rajyasabha,"Mittal, Dr. Ashok Kumar",BJP,Punjab
120,https://sansad.in/getFile/newmembers/photos/P2663.jpg?source=rajyasabha,"Mohan, Shri Jogen",BJP,Assam
121,https://sansad.in/getFile/newmembers/photos/P2585.jpg?source=rajyasabha,"Murty, Smt. Sudha",NOM.,Nominated
122,https://sansad.in/getFile/newmembers/photos/P2504.jpg?source=rajyasabha,"Murugan, Dr. L.",BJP,Madhya Pradesh
123,https://sansad.in/getFile/newmembers/photos/P2683.jpg?source=rajyasabha,"Nabin, Shri Nitin",BJP,Bihar
124,https://sansad.in/getFile/newmembers/photos/P2204.jpg?source=rajyasabha,"Nadda, Shri Jagat Prakash",BJP,Gujarat
125,https://sansad.in/getFile/newmembers/photos/P2353.jpg?source=rajyasabha,"Nagar, Shri Surendra Singh",BJP,Uttar Pradesh
126,https://sansad.in/getFile/newmembers/photos/P2604.jpg?source=rajyasabha,"Naroliya, Smt. Maya",BJP,Madhya Pradesh
127,https://sansad.in/getFile/newmembers/photos/P2511.jpg?source=rajyasabha,"Narzary, Shri Rwngwra",UPP(L),Assam
128,https://sansad.in/getFile/newmembers/photos/P2081.jpg?source=rajyasabha,"Nathwani, Shri Parimal",YSRCP,Andhra Pradesh
129,https://sansad.in/getFile/newmembers/photos/P2596.jpg?source=rajyasabha,"Nayak, Shri Mayankkumar",BJP,Gujarat
130,https://sansad.in/getFile/newmembers/photos/P2460.jpg?source=rajyasabha,"Netam, Smt. Phulo Devi",INC,Chhattisgarh
131,https://sansad.in/getFile/newmembers/photos/P2645.jpg?source=rajyasabha,"Nikam, Shri Ujjwal Deorao",BJP,Nominated
132,https://sansad.in/getFile/newmembers/photos/P2288.jpg?source=rajyasabha,"Nirmala Sitharaman, Smt.",BJP,Karnataka
133,https://sansad.in/getFile/newmembers/photos/P2554.jpg?source=rajyasabha,"Nishad, Shri Baburam",BJP,Uttar Pradesh
134,https://sansad.in/getFile/newmembers/photos/P2181.jpg?source=rajyasabha,"O' Brien, Shri Derek",AITC,West Bengal
135,https://sansad.in/getFile/newmembers/photos/P2658.jpg?source=rajyasabha,"Oberoi, Shri Gurwinder Singh",J&KNC,Jammu & Kashmir
136,https://sansad.in/getFile/newmembers/photos/P2515.jpg?source=rajyasabha,"P, Shri Sandosh Kumar",CPI,Kerala
137,https://sansad.in/getFile/newmembers/photos/P208.jpg?source=rajyasabha,"Patel, Shri Praful",NCP,Maharashtra
138,https://sansad.in/getFile/newmembers/photos/P2563.jpg?source=rajyasabha,"Patel, Shri Shambhu Sharan",BJP,Bihar
139,https://sansad.in/getFile/newmembers/photos/P2521.jpg?source=rajyasabha,"Pathak, Dr. Sandeep Kumar",BJP,Punjab
140,https://sansad.in/getFile/newmembers/photos/P2532.jpg?source=rajyasabha,"Patidar, Dr. Kavita",BJP,Madhya Pradesh
141,https://sansad.in/getFile/newmembers/photos/P2638.jpg?source=rajyasabha,"Patil, Shri Nitin Laxmanrao Jadhav",NCP,Maharashtra
