position tittle,NAME,PARTY,text-xs,,,,,,,,,,,flex href,leading-5,text-sm,text-xs,flex href,leading-6,text-sm,flex href
Members of Legislative Assembly (MLAs),Dr. Partha Sarathi Valmiki,Bharatiya Janata Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/dr-partha-sarathi-valmiki-171262585923310,Dr. Partha Sarathi Valmiki,Bharatiya Janata Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/dr-partha-sarathi-valmiki-171262585923311,Dr. Partha Sarathi Valmiki,Bharatiya Janata Party,https://www.india.gov.in/directory/whos-who/mla/dr-partha-sarathi-valmiki-171262585923311
Members of Legislative Assembly (MLAs),Sri Palla Srinivasa Rao,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-palla-srinivasa-rao-171262585868226,Sri Palla Srinivasa Rao,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-palla-srinivasa-rao-171262585868227,Sri Palla Srinivasa Rao,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-palla-srinivasa-rao-171262585868227
Members of Legislative Assembly (MLAs),Dr. Nimmala Ramanaidu,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/dr-nimmala-ramanaidu-171262585817561,Dr. Nimmala Ramanaidu,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/dr-nimmala-ramanaidu-171262585817562,Dr. Nimmala Ramanaidu,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/dr-nimmala-ramanaidu-171262585817562
Members of Legislative Assembly (MLAs),Smt. Prashanthi Reddy Vemireddy,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-prashanthi-reddy-vemireddy-171262585981779,Smt. Prashanthi Reddy Vemireddy,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-prashanthi-reddy-vemireddy-171262585981780,Smt. Prashanthi Reddy Vemireddy,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-prashanthi-reddy-vemireddy-171262585981780
Members of Legislative Assembly (MLAs),Sri Regam Matyalingam,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-regam-matyalingam-171262586034839,Sri Regam Matyalingam,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-regam-matyalingam-171262586034840,Sri Regam Matyalingam,Yuvajana Sramika Rythu Congress Party,https://www.india.gov.in/directory/whos-who/mla/sri-regam-matyalingam-171262586034840
Members of Legislative Assembly (MLAs),Sri Prathipati Pulla Rao,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-prathipati-pulla-rao-171262585310218,Sri Prathipati Pulla Rao,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-prathipati-pulla-rao-171262585310219,Sri Prathipati Pulla Rao,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-prathipati-pulla-rao-171262585310219
Members of Legislative Assembly (MLAs),Smt. Palle Sindura Reddy,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-palle-sindura-reddy-171262585837258,Smt. Palle Sindura Reddy,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-palle-sindura-reddy-171262585837259,Smt. Palle Sindura Reddy,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-palle-sindura-reddy-171262585837259
Members of Legislative Assembly (MLAs),Sri Rajagopal Sreeram (Tataiah),Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-rajagopal-sreeram-tataiah-171262585993742,Sri Rajagopal Sreeram (Tataiah),Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-rajagopal-sreeram-tataiah-171262585993743,Sri Rajagopal Sreeram (Tataiah),Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-rajagopal-sreeram-tataiah-171262585993743
Members of Legislative Assembly (MLAs),Sri Pantam Venkateswara Rao (Pantam Nanaji),Janasena Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-pantam-venkateswara-rao-pantam-nanaji-171262585846024,Sri Pantam Venkateswara Rao (Pantam Nanaji),Janasena Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-pantam-venkateswara-rao-pantam-nanaji-171262585846025,Sri Pantam Venkateswara Rao (Pantam Nanaji),Janasena Party,https://www.india.gov.in/directory/whos-who/mla/sri-pantam-venkateswara-rao-pantam-nanaji-171262585846025
Members of Legislative Assembly (MLAs),Sri Putta Sudhakar Yadav,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-putta-sudhakar-yadav-171262585906508,Sri Putta Sudhakar Yadav,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-putta-sudhakar-yadav-171262585906509,Sri Putta Sudhakar Yadav,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-putta-sudhakar-yadav-171262585906509
